comp_row_id,comp_name,enemy_comp_row_id,enemy_comp_name,suggested_counter_items,suggested_augment_themes,positioning_advice
1,德玛西亚 薇恩 && 德莱厄斯,13,弗雷尔卓德 丽桑卓 && 布隆,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,14,斗士 巴德 && 赛恩,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
1,德玛西亚 薇恩 && 德莱厄斯,15,德玛西亚 瑞兹 && 塔里克,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,16,约德尔人 维迦 && 凯南,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,17,皮尔特沃夫 海克斯霸龙 && 蔚,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,18,迅击战士 芸阿娜 && 孙悟空,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,19,暗影岛 卡莉丝塔 && 锤石,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
1,德玛西亚 薇恩 && 德莱厄斯,20,虚空 卡莎 && 峡谷先锋,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,21,以绪塔尔 巴德 && 妮蔻,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,22,巨神峰 奥瑞利安·索尔 && 塔里克,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
1,德玛西亚 薇恩 && 德莱厄斯,23,神盾使 玛尔扎哈 && 萨勒芬妮,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
1,德玛西亚 薇恩 && 德莱厄斯,24,诺克萨斯 乐芙兰 && 德莱厄斯,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入
1,德玛西亚 薇恩 && 德莱厄斯,25,诺克萨斯 卑尔维斯 && 斯维因,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入
2,比尔吉沃特 厄运小姐 && 诺提勒斯,1,德玛西亚 薇恩 && 德莱厄斯,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,3,巨神峰 玛尔扎哈 && 蕾欧娜,,优先选择泛用战力强化（可参考：珠光莲花 I、珠光莲花 II）,根据对手主C位置灵活换边
2,比尔吉沃特 厄运小姐 && 诺提勒斯,4,法师 安妮 && 斯维因,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,5,诺克萨斯 千珏 && 德莱文,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
2,比尔吉沃特 厄运小姐 && 诺提勒斯,6,以绪塔尔 奈德丽 && 斯卡纳,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,7,裁决战士 阿狸 && 永恩,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
2,比尔吉沃特 厄运小姐 && 诺提勒斯,8,弗雷尔卓德 金克丝 && 瑟庄妮,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
2,比尔吉沃特 厄运小姐 && 诺提勒斯,9,约德尔人 吉格斯 && 凯南,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,10,德玛西亚 卡莎 && 盖伦,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,11,德玛西亚 卡莎 && 盖伦,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,12,约德尔人 维迦 && 凯南,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,13,弗雷尔卓德 丽桑卓 && 布隆,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,14,斗士 巴德 && 赛恩,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
2,比尔吉沃特 厄运小姐 && 诺提勒斯,15,德玛西亚 瑞兹 && 塔里克,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,16,约德尔人 维迦 && 凯南,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,17,皮尔特沃夫 海克斯霸龙 && 蔚,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,18,迅击战士 芸阿娜 && 孙悟空,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,19,暗影岛 卡莉丝塔 && 锤石,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
2,比尔吉沃特 厄运小姐 && 诺提勒斯,20,虚空 卡莎 && 峡谷先锋,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,21,以绪塔尔 巴德 && 妮蔻,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,22,巨神峰 奥瑞利安·索尔 && 塔里克,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
2,比尔吉沃特 厄运小姐 && 诺提勒斯,23,神盾使 玛尔扎哈 && 萨勒芬妮,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
2,比尔吉沃特 厄运小姐 && 诺提勒斯,24,诺克萨斯 乐芙兰 && 德莱厄斯,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入
2,比尔吉沃特 厄运小姐 && 诺提勒斯,25,诺克萨斯 卑尔维斯 && 斯维因,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入
3,巨神峰 玛尔扎哈 && 蕾欧娜,1,德玛西亚 薇恩 && 德莱厄斯,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,2,比尔吉沃特 厄运小姐 && 诺提勒斯,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,4,法师 安妮 && 斯维因,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,5,诺克萨斯 千珏 && 德莱文,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
3,巨神峰 玛尔扎哈 && 蕾欧娜,6,以绪塔尔 奈德丽 && 斯卡纳,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,7,裁决战士 阿狸 && 永恩,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
3,巨神峰 玛尔扎哈 && 蕾欧娜,8,弗雷尔卓德 金克丝 && 瑟庄妮,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
3,巨神峰 玛尔扎哈 && 蕾欧娜,9,约德尔人 吉格斯 && 凯南,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,10,德玛西亚 卡莎 && 盖伦,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,11,德玛西亚 卡莎 && 盖伦,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,12,约德尔人 维迦 && 凯南,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,13,弗雷尔卓德 丽桑卓 && 布隆,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,14,斗士 巴德 && 赛恩,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
3,巨神峰 玛尔扎哈 && 蕾欧娜,15,德玛西亚 瑞兹 && 塔里克,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,16,约德尔人 维迦 && 凯南,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,17,皮尔特沃夫 海克斯霸龙 && 蔚,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,18,迅击战士 芸阿娜 && 孙悟空,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,19,暗影岛 卡莉丝塔 && 锤石,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
3,巨神峰 玛尔扎哈 && 蕾欧娜,20,虚空 卡莎 && 峡谷先锋,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,21,以绪塔尔 巴德 && 妮蔻,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,22,巨神峰 奥瑞利安·索尔 && 塔里克,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
3,巨神峰 玛尔扎哈 && 蕾欧娜,23,神盾使 玛尔扎哈 && 萨勒芬妮,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
3,巨神峰 玛尔扎哈 && 蕾欧娜,24,诺克萨斯 乐芙兰 && 德莱厄斯,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入
3,巨神峰 玛尔扎哈 && 蕾欧娜,25,诺克萨斯 卑尔维斯 && 斯维因,巨龙之爪、棘刺背心、水银,优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,主C别贴边单防，避免被对位切入
4,法师 安妮 && 斯维因,1,德玛西亚 薇恩 && 德莱厄斯,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,2,比尔吉沃特 厄运小姐 && 诺提勒斯,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,3,巨神峰 玛尔扎哈 && 蕾欧娜,,优先选择泛用战力强化（可参考：珠光莲花 I、珠光莲花 II）,根据对手主C位置灵活换边
4,法师 安妮 && 斯维因,5,诺克萨斯 千珏 && 德莱文,日炎斗篷、莫雷洛秘典、红霸符、巨人捕手、薄暮法袍,优先补减疗/重伤与持续作战；优先补破前排、穿透或巨杀类战力；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；优先保证主C能持续处理对手前排；主C别贴边单防，避免被对位切入
4,法师 安妮 && 斯维因,6,以绪塔尔 奈德丽 && 斯卡纳,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,7,裁决战士 阿狸 && 永恩,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
4,法师 安妮 && 斯维因,8,弗雷尔卓德 金克丝 && 瑟庄妮,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入
4,法师 安妮 && 斯维因,9,约德尔人 吉格斯 && 凯南,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,10,德玛西亚 卡莎 && 盖伦,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,11,德玛西亚 卡莎 && 盖伦,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,12,约德尔人 维迦 && 凯南,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,13,弗雷尔卓德 丽桑卓 && 布隆,巨人捕手、薄暮法袍、离子火花、强袭者的链枷,优先补破前排、穿透或巨杀类战力；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,优先保证主C能持续处理对手前排；如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,14,斗士 巴德 && 赛恩,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战（可参考：珠光莲花 I、珠光莲花 II）,尽量让减疗装备尽早覆盖对手前排
4,法师 安妮 && 斯维因,15,德玛西亚 瑞兹 && 塔里克,,若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,16,约德尔人 维迦 && 凯南,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,17,皮尔特沃夫 海克斯霸龙 && 蔚,日炎斗篷、莫雷洛秘典、红霸符,优先补减疗/重伤与持续作战；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；如果你中期强，尽量在对手9级前多入血
4,法师 安妮 && 斯维因,18,迅击战士 芸阿娜 && 孙悟空,日炎斗篷、莫雷洛秘典、红霸符、巨龙之爪、棘刺背心,优先补减疗/重伤与持续作战；优先补保后排、解控与容错；若你是中期阵容，优先拿经济/节奏强化抢压制（可参考：DD街区、大百宝袋）,尽量让减疗装备尽早覆盖对手前排；主C别贴边单防，避免被对位切入；如果你中期强，尽量在对手9级前多入血
